stratus-autoscaler target=0.70 bounds=[1,6] interval=3.0s cooldown up/down=6/15s
    t[s]  replicas  utilisation   desired      action  reason
     3.0         1        0.000         1        hold  at target (0.0 req/s)
     6.9         1        0.000         1        hold  at target (0.0 req/s)
    10.3         1        1.101         2    scale-up  utilisation above target (22.4 req/s)
    15.6         2        0.848         2        hold  scale-up blocked by cooldown (34.6 req/s)
    20.2         2        0.822         3    scale-up  utilisation above target (33.4 req/s)
    25.6         3        0.996         3        hold  scale-up blocked by cooldown (59.4 req/s)
    30.2         3        0.531         3        hold  at target (32.4 req/s)
    33.3         3        0.667         3        hold  at target (40.4 req/s)
    36.3         3        0.654         3        hold  at target (40.0 req/s)
    39.4         3        0.653         3        hold  at target (40.0 req/s)
    42.5         3        0.661         3        hold  at target (39.8 req/s)
    45.6         3        0.660         3        hold  at target (40.2 req/s)
    48.7         3        0.654         3        hold  at target (40.0 req/s)
    51.7         3        0.660         3        hold  at target (40.1 req/s)
    54.8         3        0.655         3        hold  at target (40.0 req/s)
    57.9         3        0.646         3        hold  at target (39.8 req/s)
    60.9         3        0.033         1  scale-down  utilisation below target (2.0 req/s)
    65.9         1            -         -        skip  counter reset, fleet size changed
    68.9         1        0.000         1        hold  at target (0.0 req/s)
    71.9         1        0.000         1        hold  at target (0.0 req/s)
    74.9         1        0.000         1        hold  at target (0.0 req/s)
    77.9         1        0.000         1        hold  at target (0.0 req/s)
    81.0         1        0.000         1        hold  at target (0.0 req/s)
    84.1         1        0.000         1        hold  at target (0.0 req/s)
    87.1         1        0.000         1        hold  at target (0.0 req/s)
    90.1         1        0.000         1        hold  at target (0.0 req/s)
    93.1         1        0.000         1        hold  at target (0.0 req/s)
    96.8         1        0.000         1        hold  at target (0.0 req/s)
    99.8         1        0.000         1        hold  at target (0.0 req/s)
