offset_s,latency_s,ok
11.2887,1.55756,1
12.8462,1.50161,1
14.3479,1.49866,1
15.8465,2.59626,1
18.4428,1.3846,1
19.8274,8.30976,1
28.1371,21.4976,1
49.6348,1.55614,1
51.1909,1.44125,1
52.6322,1.21074,1
53.8429,2.42547,1
56.2684,1.32835,1
57.5967,0.612151,0
58.2089,0.845581,1
59.0545,1.23133,1
60.2858,1.27322,1
61.559,2.19194,1
63.7509,1.15583,1
64.9068,0.864674,1
65.7714,1.09668,1
66.8681,0.923432,1
67.7916,0.981986,1
68.7735,1.10275,1
69.8763,1.09539,1
70.9717,1.95895,1
72.9306,1.1029,1
74.0335,3.98381,1
78.0174,1.0968,1
79.1142,2.13167,1
81.2458,1.14943,1
82.3953,1.21371,1
83.609,1.32699,1
84.936,2.24981,1
87.1858,2.1344,1
89.3202,1.32121,1
90.6414,1.21295,1
91.8543,1.09339,1
92.9477,1.15192,1
94.0996,1.49931,1
95.5989,1.38218,1
96.9811,1.09814,1
98.0793,2.137,1
100.216,1.15451,1
101.371,1.15238,1
102.523,1.1557,1
103.679,1.09587,1
104.775,1.09656,1
105.871,8.25293,1
114.124,4.15698,1
118.281,1.15171,1
119.433,1.0361,1
120.469,2.13153,1
122.601,1.21231,1
123.813,1.12617,1
124.939,0.125433,1
125.064,1.05727,1
126.122,0.151913,1
126.274,0.173366,1
126.447,1.52058,1
127.968,0.40583,1
128.373,0.289805,1
128.663,3.35093,1
132.014,1.26863,1
133.283,0.288588,1
133.571,1.12261,1
134.694,0.117918,1
134.812,1.15433,1
135.966,0.127687,1
136.094,0.180265,1
136.274,0.11902,1
136.393,1.26643,1
137.66,0.17365,1
137.833,0.177632,1
138.011,1.12339,1
139.134,0.196304,1
139.331,1.67721,1
141.008,1.21613,1
142.224,1.20736,1
143.431,0.173941,1
143.605,1.20906,1
144.814,0.367853,1
145.182,0.406178,1
145.588,0.437619,1
146.026,0.290623,1
146.317,0.228697,1
146.545,0.229793,1
146.775,0.37109,1
147.146,0.288379,1
147.435,0.288216,1
147.723,0.288228,1
148.011,0.325072,1
148.336,1.24151,1
149.578,0.232298,1
149.81,0.17014,1
149.98,0.243909,1
150.224,0.232134,1
150.456,3.21048,1
153.667,0.346312,1
154.013,0.230674,1
154.244,0.413163,1
154.657,0.461202,1
155.118,0.508451,1
155.626,0.462335,1
156.089,1.3251,1
157.414,0.358587,1
157.772,0.345991,1
158.118,1.26527,1
159.384,1.26453,1
160.648,0.146407,1
160.795,3.15795,1
163.953,0.288629,1
164.241,0.29057,1
164.532,0.118357,1
164.65,0.167393,1
164.817,1.30126,1
166.119,0.230391,1
166.349,0.230692,1
166.58,0.403039,1
166.983,0.460965,1
167.444,0.406776,1
167.851,0.346338,1
168.197,1.11972,1
169.317,0.120691,1
169.437,0.119322,1
169.557,0.213119,1
169.77,1.22055,1
170.99,0.23118,1
171.222,1.18926,1
172.411,1.21088,1
173.622,0.162218,1
173.784,1.13234,1
174.916,0.123709,1
175.04,0.239313,1
175.279,3.14519,1
178.424,0.226298,1
178.651,0.182787,1
178.834,0.132065,1
178.966,0.120217,1
179.086,3.1763,1
182.262,0.119024,1
182.381,0.123082,1
182.504,1.17237,1
183.677,0.259547,1
183.936,0.345028,1
184.281,0.230875,1
184.512,0.230155,1
184.742,0.287919,1
185.03,0.287854,1
185.318,0.402896,1
185.721,7.21035,1
192.931,0.172575,1
193.104,3.21521,1
196.319,0.344134,1
196.663,0.381897,1
197.045,7.18533,1
204.23,3.19635,1
207.427,1.33719,1
208.764,1.19214,1
209.956,1.17014,1
211.126,0.175733,1
211.302,1.16022,1
212.462,0.176272,1
212.638,0.3386,1
212.977,1.1312,1
214.108,1.15313,1
215.261,0.231218,1
215.493,1.2431,1
216.736,0.172516,1
216.908,0.173102,1
217.081,0.151014,1
217.232,0.120856,1
217.353,0.172618,1
217.526,1.22452,1
218.75,1.16203,1
219.912,0.312382,1
220.225,0.172931,1
220.398,0.177726,1
220.575,0.229343,1
220.805,7.17761,1
227.982,1.21384,1
229.196,0.220194,1
229.416,0.288247,1
229.705,0.230753,1
229.935,0.241688,1
230.177,7.29773,1
237.475,0.117672,1
237.592,0.172869,1
237.765,0.205675,1
237.971,0.226695,1
238.198,1.3207,1
239.518,1.13268,1
240.651,0.237333,1
240.888,1.18246,1
242.071,0.126362,1
242.197,0.161089,1
242.358,0.20081,1
242.559,0.161916,1
242.721,1.18081,1
243.902,3.14261,1
247.044,0.13415,1
247.179,0.149268,1
247.328,1.13001,1
248.458,0.170524,1
248.628,0.119837,1
248.748,0.123279,1
248.872,0.170507,1
249.042,7.15521,1
13.1939,1.55826,1
14.7521,1.49826,1
16.2504,2.59624,1
18.8466,1.32626,1
20.1729,1.266,1
21.4389,1.38694,1
22.8258,1.61822,1
24.4441,1.44294,1
25.887,2.36583,1
28.2528,21.959,1
50.2118,1.49701,1
51.7089,2.19171,1
53.9006,1.33023,1
55.2308,2.30639,1
57.5372,0.780422,0
58.3176,1.25687,1
59.5745,2.39062,1
61.9651,1.26693,1
63.232,1.04071,1
64.2727,2.01854,1
66.2913,4.10376,1
70.3951,2.07423,1
72.4693,1.09854,1
73.5678,1.33121,1
74.899,1.03895,1
75.938,1.21429,1
77.1523,0.923053,1
78.0753,1.09673,1
79.1721,0.981534,1
80.1536,1.14962,1
81.3032,4.38188,1
85.6851,1.09539,1
86.7805,2.19351,1
