offset_s,latency_s,ok
5.03399,0.339133,1
5.37312,0.528508,1
5.90166,0.188237,1
6.08989,0.214401,1
6.3043,0.1837,1
6.488,0.204579,1
6.69257,0.24129,1
6.93387,0.224889,1
7.15876,0.26605,1
7.42481,0.444053,1
7.86886,0.268104,1
8.13696,0.237692,1
8.37466,0.275798,1
8.65046,0.272853,1
8.92331,0.411987,1
9.3353,0.231563,1
9.56686,0.169247,1
9.73611,0.123395,1
9.85951,0.12675,1
9.98626,0.133088,1
10.1193,0.116662,1
10.236,0.125233,1
10.3612,0.113382,1
10.4746,0.148364,1
10.623,0.167247,1
10.7902,0.146952,1
10.9372,0.104856,1
11.042,0.126947,1
11.169,0.114286,1
11.2833,0.111636,1
11.3949,0.105107,1
11.5,0.100074,1
11.6001,0.107122,1
11.7072,0.116706,1
11.8239,0.0996908,1
11.9236,0.097842,1
12.0215,0.0983387,1
12.1198,0.097788,1
12.2176,0.0987939,1
12.3164,0.0982205,1
12.4146,0.0979182,1
12.5125,0.0990133,1
12.6115,0.100796,1
12.7123,0.0989084,1
12.8112,0.0972801,1
12.9085,0.0996253,1
13.0081,0.0992205,1
13.1074,0.0986258,1
13.206,0.09871,1
13.3047,0.0993742,1
13.4041,0.0984156,1
13.5025,0.0987618,1
13.6013,0.0982001,1
13.6995,0.104588,1
13.804,0.108541,1
13.9126,0.102996,1
14.0156,0.0998664,1
14.1155,0.100001,1
14.2155,0.0990435,1
14.3145,0.0994326,1
14.4139,0.0984847,1
14.5124,0.0986934,1
14.6111,0.0977161,1
14.7088,0.10054,1
14.8094,0.0990245,1
14.9084,0.0987755,1
15.0072,0.100479,1
15.1076,0.0998545,1
15.2075,0.0993743,1
15.3069,0.100617,1
15.4075,0.0984141,1
15.5059,0.0976084,1
15.6035,0.0983477,1
15.7019,0.097935,1
15.7998,0.0990412,1
15.8988,0.100733,1
15.9996,0.101608,1
16.1012,0.0998061,1
16.201,0.116735,1
16.3177,0.118164,1
16.4359,0.101554,1
16.5374,0.0988626,1
16.6363,0.0997095,1
16.736,0.0999336,1
16.836,0.101339,1
16.9373,0.100681,1
17.038,0.100083,1
17.1381,0.0985028,1
17.2366,0.100131,1
17.3367,0.101899,1
17.4386,0.100912,1
17.5395,0.0983516,1
17.6379,0.0977834,1
17.7356,0.0974143,1
17.8331,0.0977574,1
17.9308,0.0970407,1
18.0279,0.0980751,1
18.1259,0.098417,1
18.2243,0.0970583,1
18.3214,0.0990151,1
18.4204,0.105184,1
18.5256,0.100837,1
18.6264,0.0968698,1
18.7233,0.0968314,1
18.8201,0.0972815,1
18.9174,0.096937,1
19.0144,0.0977994,1
19.1122,0.0978427,1
19.21,0.0966388,1
19.3066,0.0973942,1
19.404,0.0970763,1
19.5011,0.0968932,1
19.598,0.0981801,1
19.6962,0.0967104,1
19.7929,0.0997003,1
19.8926,0.0977168,1
19.9903,0.0982274,1
20.0885,0.0995139,1
20.1881,0.099213,1
20.2873,0.0979353,1
20.3852,0.0967289,1
20.4819,0.0972848,1
20.5792,0.0971964,1
20.6764,0.097178,1
20.7736,0.0972868,1
20.8709,0.0980346,1
20.9689,0.0989914,1
21.0679,0.0963026,1
21.1642,0.0973035,1
21.2615,0.0979725,1
21.3595,0.0975548,1
21.4571,0.0979887,1
21.555,0.0970896,1
21.6521,0.0984621,1
21.7506,0.0985973,1
21.8492,0.0977573,1
21.947,0.0988304,1
22.0458,0.0974789,1
22.1433,0.0983402,1
22.2416,0.097794,1
22.3394,0.0994617,1
22.4389,0.0983042,1
22.5372,0.097047,1
22.6342,0.0975642,1
22.7318,0.0997616,1
22.8315,0.0991251,1
22.9307,0.098671,1
23.0293,0.0980531,1
23.1274,0.0993326,1
23.2267,0.0993618,1
23.3261,0.102219,1
23.4283,0.0985603,1
23.5269,0.0986168,1
23.6255,0.0997037,1
23.7252,0.0983818,1
23.8236,0.0984511,1
23.922,0.0987607,1
24.0208,0.0979357,1
24.1187,0.0974974,1
24.2162,0.100214,1
24.3164,0.0975691,1
24.414,0.0992016,1
24.5132,0.0985377,1
24.6117,0.0973832,1
24.7091,0.0969685,1
24.8061,0.097851,1
24.9039,0.0976531,1
5.16997,0.350304,1
5.52027,0.25982,1
5.78009,0.309704,1
6.0898,0.128268,1
6.21807,0.223758,1
6.44182,0.181968,1
6.62379,0.21328,1
6.83707,0.209766,1
7.04684,0.208683,1
7.25553,0.235721,1
7.49125,0.434665,1
7.92591,0.315276,1
8.24119,0.255309,1
8.4965,0.279698,1
8.7762,0.317703,1
9.0939,0.370847,1
9.46475,0.194435,1
9.65918,0.14252,1
9.8017,0.118845,1
9.92055,0.132968,1
10.0535,0.125893,1
10.1794,0.120126,1
10.2995,0.118169,1
10.4177,0.122506,1
10.5402,0.165645,1
10.7059,0.169248,1
10.8751,0.114271,1
10.9894,0.111769,1
11.1011,0.129861,1
11.231,0.107185,1
11.3382,0.108206,1
11.4464,0.103077,1
11.5495,0.103321,1
11.6528,0.115637,1
11.7684,0.105288,1
11.8737,0.0986829,1
11.9724,0.0985016,1
12.0709,0.0978933,1
12.1688,0.0985879,1
12.2674,0.0980122,1
12.3654,0.0978765,1
12.4633,0.0987809,1
12.5621,0.10054,1
12.6626,0.0992144,1
12.7618,0.0982513,1
12.8601,0.0980314,1
12.9581,0.100333,1
13.0584,0.0986664,1
13.1571,0.0976722,1
13.2548,0.100363,1
13.3551,0.0977962,1
13.4529,0.0988473,1
13.5518,0.0986986,1
13.6505,0.0995185,1
13.75,0.109205,1
13.8592,0.105526,1
13.9647,0.100954,1
14.0657,0.100263,1
14.166,0.0983803,1
14.2643,0.0994396,1
14.3638,0.0992199,1
14.463,0.0984967,1
14.5615,0.0984604,1
14.66,0.100026,1
14.76,0.0993217,1
14.8593,0.0985298,1
14.9578,0.0990621,1
15.0569,0.101149,1
15.158,0.0991502,1
15.2572,0.101308,1
15.3585,0.0981065,1
15.4566,0.0980946,1
15.5547,0.0982855,1
15.653,0.0976192,1
15.7506,0.0995199,1
15.8501,0.0993192,1
15.9495,0.101393,1
16.0508,0.100075,1
16.1509,0.106807,1
16.2577,0.119588,1
16.3773,0.110178,1
16.4875,0.0998317,1
16.5873,0.0984777,1
16.6858,0.0998323,1
16.7856,0.0998593,1
16.8855,0.101389,1
16.9869,0.102011,1
17.0889,0.0981257,1
17.187,0.0995224,1
17.2866,0.0997976,1
17.3863,0.102956,1
17.4893,0.0997349,1
17.589,0.097848,1
17.6869,0.0976568,1
17.7845,0.0977906,1
17.8823,0.0968021,1
17.9791,0.0979721,1
18.0771,0.0981653,1
18.1753,0.0978307,1
18.2731,0.0973777,1
18.3705,0.106023,1
18.4765,0.10075,1
18.5773,0.097667,1
18.6749,0.0968219,1
18.7718,0.0971211,1
18.8689,0.0970836,1
18.966,0.0975998,1
19.0636,0.0971287,1
19.1607,0.0973719,1
19.2581,0.0970756,1
19.3551,0.0974114,1
19.4525,0.0972933,1
19.5498,0.098206,1
19.648,0.0963387,1
19.7444,0.0971618,1
19.8415,0.0993638,1
19.9409,0.0979055,1
20.0388,0.100376,1
20.1392,0.0980681,1
20.2373,0.0991827,1
