offset_s,latency_s,ok
6.36753,1.51284,1
7.88037,0.0589582,1
7.93933,1.53082,1
9.47015,1.54096,1
11.0111,0.0513547,1
11.0625,1.52252,1
12.585,0.0516726,1
12.6366,1.60817,1
14.2448,0.0731173,1
14.3179,1.57269,1
15.8906,1.48376,1
17.3744,0.0618991,1
17.4363,0.0506646,1
17.487,0.0526511,1
17.5396,0.0518676,1
17.5915,0.0539052,1
17.6454,0.0527384,1
17.6981,0.0512614,1
17.7494,0.0528629,1
17.8022,0.0523694,1
17.8546,0.0517538,1
17.9064,0.0512024,1
17.9576,0.0521297,1
18.0097,0.0522083,1
18.0619,0.0532196,1
18.1151,0.0518575,1
18.167,0.0524108,1
18.2194,0.0514387,1
18.2708,1.45207,1
20.0156,0.854179,1
21.3578,0.0515238,1
21.9891,0.0512556,1
22.7282,0.0503893,1
23.5308,0.0579508,1
24.3331,0.0530313,1
25.1349,0.0581476,1
25.9373,0.051274,1
26.7392,0.0531203,1
27.5368,0.0519004,1
28.3325,0.0516665,1
29.1287,0.0516428,1
29.9306,0.0520029,1
30.7293,0.0507164,1
31.5316,0.0546723,1
32.3429,0.0533637,1
33.1416,0.0515062,1
33.9289,0.0510629,1
34.7325,0.0509708,1
35.531,0.0515227,1
36.3325,0.0507867,1
37.1293,0.0530013,1
37.9264,0.0509227,1
38.7275,0.0529965,1
39.5282,0.0504854,1
40.3322,0.0521592,1
41.1311,0.0520902,1
41.9304,0.0512299,1
42.7283,0.052591,1
43.5249,0.0641784,1
44.3383,0.0507269,1
45.1423,0.0520275,1
45.9391,0.0504425,1
46.7341,0.0518732,1
47.5476,0.0516671,1
48.3455,0.0501146,1
49.1321,0.0511362,1
49.9322,0.0519206,1
6.41736,1.51519,1
7.93255,0.0574558,1
7.99,1.52938,1
9.51938,1.54207,1
11.0614,0.0500798,1
11.1115,1.52244,1
12.634,0.0517994,1
12.6858,1.61548,1
14.3012,0.0739814,1
14.3752,0.0575507,1
14.4328,0.0539285,1
14.4867,0.0523918,1
14.5391,0.0531053,1
14.5922,0.0544129,1
14.6466,0.0510128,1
14.6976,0.0550777,1
14.7527,0.0541757,1
14.8069,0.0538878,1
